$HOME/.local/bin/brilcalc lumi --normtag /afs/cern.ch/user/l/lumipro/public/normtag_file/normtag_DATACERT.json -i Cert_271036-275783_13TeV_PromptReco_Collisions16_JSON.txt --hltpath HLT_Mu45_eta2p1_v* -u /pb

+-------------+-------------------+------+--------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath            | delivered(/pb) | recorded(/pb) |
| 274336:4980 | 06/02/16 15:25:02 | 14   | HLT_Mu45_eta2p1_v2 | 2.062          | 1.790         |
| 274337:4980 | 06/02/16 15:33:18 | 15   | HLT_Mu45_eta2p1_v2 | 2.199          | 1.831         |
| 274338:4980 | 06/02/16 15:41:22 | 698  | HLT_Mu45_eta2p1_v2 | 97.017         | 91.494        |
| 274339:4980 | 06/02/16 20:15:40 | 90   | HLT_Mu45_eta2p1_v2 | 11.605         | 11.141        |
| 274344:4980 | 06/02/16 21:28:43 | 628  | HLT_Mu45_eta2p1_v2 | 74.595         | 72.120        |
| 274345:4980 | 06/03/16 01:37:46 | 170  | HLT_Mu45_eta2p1_v2 | 18.842         | 18.267        |
| 274382:4984 | 06/03/16 15:37:56 | 51   | HLT_Mu45_eta2p1_v2 | 8.189          | 7.623         |
| 274387:4985 | 06/03/16 19:10:09 | 352  | HLT_Mu45_eta2p1_v2 | 63.274         | 59.661        |
| 274388:4985 | 06/03/16 21:32:38 | 1820 | HLT_Mu45_eta2p1_v2 | 270.811        | 261.039       |
| 274420:4988 | 06/04/16 20:17:21 | 175  | HLT_Mu45_eta2p1_v2 | 30.261         | 28.799        |
| 274421:4988 | 06/04/16 21:28:04 | 342  | HLT_Mu45_eta2p1_v2 | 57.589         | 55.267        |
| 274422:4988 | 06/04/16 23:46:51 | 2207 | HLT_Mu45_eta2p1_v2 | 293.872        | 284.958       |
| 274440:4990 | 06/05/16 19:32:38 | 402  | HLT_Mu45_eta2p1_v2 | 67.961         | 65.180        |
| 274441:4990 | 06/05/16 22:13:06 | 431  | HLT_Mu45_eta2p1_v2 | 67.851         | 65.643        |
| 274442:4990 | 06/06/16 01:05:09 | 752  | HLT_Mu45_eta2p1_v2 | 105.162        | 101.739       |
| 274954:5005 | 06/11/16 09:40:51 | 20   | HLT_Mu45_eta2p1_v3 | 1.190          | 0.991         |
| 274955:5005 | 06/11/16 09:52:07 | 91   | HLT_Mu45_eta2p1_v3 | 5.140          | 4.904         |
| 274968:5013 | 06/11/16 22:51:22 | 1192 | HLT_Mu45_eta2p1_v3 | 207.879        | 198.787       |
| 274969:5013 | 06/12/16 06:41:54 | 1003 | HLT_Mu45_eta2p1_v3 | 139.618        | 130.137       |
| 274970:5013 | 06/12/16 13:12:54 | 47   | HLT_Mu45_eta2p1_v3 | 5.862          | 4.426         |
| 274971:5013 | 06/12/16 13:33:30 | 905  | HLT_Mu45_eta2p1_v3 | 103.787        | 100.583       |
| 274998:5017 | 06/13/16 04:19:54 | 719  | HLT_Mu45_eta2p1_v3 | 122.581        | 115.887       |
| 274999:5017 | 06/13/16 09:04:45 | 1241 | HLT_Mu45_eta2p1_v3 | 173.325        | 167.347       |
| 275000:5017 | 06/13/16 17:15:35 | 136  | HLT_Mu45_eta2p1_v3 | 16.815         | 16.276        |
